ASIN,Title,Category,Rating,ListPrice,Price,Discount,TotalPrice,Available,ReviewCount,Review1,Review2,Review3,Review4,Review5
B0053FM5WS,IKEA Dignitet Curtain Wire + Fixtures Complete Set 500 cm Stainless Steel,"Home Accessories,Curtains & Blinds",1,0,9.69,0,0,True,1,"its a great product, but the one that was sent to me was opened and used. that would have been fine but the product was sold as NEW and it was not, it was too late for me to send back due to handyman being booked. so unhappy with that. however the product it self is good.",,,,
6040652829,IKEA Ekorre Wall Ceiling Swing Set Hooks - 2 Pack for Gym Rings/Swings,"Hardware,Hooks",1,0,8.90,0,0,True,1,Massively over priced as they only cost £2 from ikea. Just wish I'd known this before purchase (feel like I've been mugged).,,,,
B00RK4SR86,"IKEA GURLI - Cushion cover, white - 50x50 cm","Bedding & Linens,Cushions & Accessories,Cushion Covers",1,0,5.95,0,0,True,1,"Simply because it is NOT 50cm by 50cm, so not suitable for what I wanted",,,,
B00GMMD8PE,"IKEA LACK - Wall shelf, oak effect - 110x26 cm","Furniture,Living Room Furniture",1,0,22.49,0,0,True,1,Arrived damaged not happy,,,,
B00RK4QXGO,"IKEA TJENA - Box with lid, black - 32x35x32 cm","Laundry, Storage & Organisation,Baskets & Bins,Paper Bins",1,0,11.99,0,0,True,1,"Very disappointed. All three boxes were faulty. I bought 3 previously and we're fine, but won't be getting anymore as the lids are broken and have marks on them. Very poor.",,,,
B00JLHZPYY,"NewBorn, Baby, IKEA - KALAS Children Colorful 18 Piece Cutlery Set New Born, Child, Kid","Cooking & Dining,Tableware,Cutlery,Children's Cutlery",1,0,6.99,0,0,True,1,Great product. Shame about the price.You can buy it directly from IKEA for £0.90 .... and they deliver,,,,
B00GPQW9AC,"IKEA POANG - Armchair, oak veneer, Alme black","Furniture,Home Office Furniture,Chairs & Sofas,Sofas",1,0,82.00,0,0,False,1,"Price is scandalous, a lot cheaper buying direct from ikea.",,,,
B00GMM74PY,"IKEA GULLUNGE - Babycare mat, white - 36x62x2 cm","Nursery,Furniture,Changing Tables",1,0,6.00,0,0,True,1,"Only wanted to get this because of the size, 36 x 62, but when it arrived I discovered three soft sides are inflatable. This was not written in the description, so quiet disappointed. Not happy about this because now I have to use it without the soft sides... Delivery was fast and reliable.",,,,
B00L3RCZ2U,SKUBB 4 Pack Black Shoe Boxes (22x34x16 cm),"Laundry, Storage & Organisation,Baskets & Bins,Paper Bins",1,0,18.74,0,0,True,1,They are £9 for 4 from Ikea UK online.,,,,
B00MDV3AYC,"GLIS Box with lid, pink/white, yellow, Pack of 3, Size 17x10 cm, A perfect place to keep pens, pencils and small accessories.","Laundry, Storage & Organisation,Baskets & Bins,Storage Boxes & Chests,Storage Boxes",1.5,0,4.99,0,0,True,2,You can buy a set of these for a 1.00 in ikea and these are from ikea not happy boxes are really small then showed in picture,Bit disappointed with them lids don't fit properly,,,
B00GMM6XWE,"IKEA KNYCK - Napkin holder, black","Cooking & Dining,Kitchen Storage & Organisation,Racks & Holders,Napkin Holders",1,0,9.99,0,0,True,1,Cheap looking,,,,
