ASIN,Title,Category,Rating,ListPrice,Price,Discount,Available,ReviewCount,Review1,Review2,Review3,Review4,Review5,Review6,Review7,Review8
B001R5JXB4,Premier Housewares Four Tier Slatted Wooden Shoe Rack - Beige,"Laundry, Storage & Organisation,Clothing & Wardrobe Storage,Wardrobe Storage Accessories,Shoe Racks",3,24.99,12.04,52,True,504,"This product is a total waste of money ..... Not only are the slats not cut correctly, but the wood does not slot into them ... I bought 2 and was able to superglue one of them together but its still not sturdy. The other one will not even assemble together. The only thing these are useful for are firewood! Do not buy - total waste of money and time!","To construct this 'kit' you will need a craft knife to correct the slots. To make it structurally viable, you will need wood glue and some pins. The wood will need sanding - as it is very rough. And then a coat of varnish! To conclude this is really one for the hobbyist and for someone with a sense of humour.","This is just the ticket for a bit of self-inflicted pain - seasoned with self loathing and spiced with profanities. If I was to pick a high point it would be that it was delivered very quickly.On the less good side, you get eight bits of splintery wood and what are laughably called instructions. Assembling the rack involves leaning these bits of wood together in a way that may one day lead to it being a rack. Having leaned these bits of wood together for a while, and seeing them then collapse, for some hours I resolved to turn my life to a higher purpose and renounce this material world for a higher calling that didn't involve shoes at all. I have destroyed my shoes, on a bonfire made of these eight bits of wood, and set out for pastures new.Adieu, cruel shoe rack.","This shoe rack is very cheap and flimsy, certainly not worth the money, worth about £5.  The slats do not fit in properly and you will end up with skelfs from the wood! Do not buy!","I have just attempted to build this today, it came with no instructions which should not be a problem as it should have been quite straight forward.The wood was very poor quality, did not look like the picture, none of the screws were long enough the so it turned out to be a two tier shoe rack as the two other shelves broke. Only buy this if you have lots of spare time, good strong glue,hammer, chisel, sandpaper etc. . .",Ordered on Saturday and delivered on Monday! Personally i had no problems at all assembling the shoe rack and have no quibbles with the quality either and i have found it to be very sturdy also. :-),"You get what you pay for.You have to be careful assembling this rack as the wooden slats are quite fragile. The uprights do not fit comfortably into place as the slats are not evenly spaced.I strengthed all of the joints with black, round-headed screws and the final result is quite sturdy. I also cut through the uprights to end up with 2 two-tier racks.Varnish or wood stain will finish the job nicely.",V happy with this. Easier to assemble as no nuts or bolts or allen keys or screwdriver needed.
B0035VZ4KC,Premier Housewares 509584 Two Tier Dish Drainer - White,"Cooking & Dining,Kitchen Storage & Organisation,Racks & Holders,Dish Drainers",3.5,27.99,9.85,65,True,1112,Good drainer has good capacity to store the dishes etc but a bit too big - its worth checking the measurements accurately as it needs to have a big space to keep it.,"Poor conditions, rust and defects were noticeable. Had difficulties piecing the drainer together due to the rust. Plastic tray is bent and has water marks all over it.",Glasses don't stand up . flimsy and totally useless.. threw it away and bought  a one tier one instead..much happier!,I started using the dryer 2 weeks ago and I have to say that it shows already signs of RUST!Maybe cheap but really poor quality.Not recommended,"I bought 1 of these in York last year. Easily put together but a week later I noticed areas of rust, I was unable to return it for another week in which time the rust had spread alarmingly. Perhaps I was unlucky but I recommend that any buyers check daily for rust for a few weeks, I will stick to stainless steel.","I really like the design of the drainer, it holds a lot of dishes in a limited space.Too bad it cant stand water. After a few weeks of use, corrosion is everywhere.Raise the price and use proper materials!","Not at all impressed! The product was delivered on time, but with a 'white' drip tray! Also, the drainer doesn't look like it's a very good quality, and is subject to rust quite quickly.I wanted to send the product back and get a full refund. However, the seller was adamant to give me a partial refund. After around 20 emails going backwards and forwards, I decided to keep the product (just to save the unnecessary grief and pain that the seller was causing!!! ) I accepted the 'partial' refund of £7 an have kept the product for a fiver. Not worth even that!!!To cut a long story short, I am never buying anything from this seller! And moral of the story for you is: DO NOT BUY THIS PRODUCT!!!","This item arrived promptly. However, there were signs of rust in the screw holes and once put together it does not stand flat. The plastic holders appear to be bend. I could not be bothered to return it, as I actually brought it for a friend. Will just see how long it last or until it becomes really unstable and the plates come crashing down!"
B00AX2Z1V8,"Alsapan Compo 4 x 2 Cube with White Melamine, 122.3 x 61.5 x 29.5 cm, White",Home & Garden,3.5,59.99,44.66,26,True,27,"A good item, smaller than I imagined but the measurements are right. You can't fit much in each square, an A4 book would have to be laid down, for example) but it looks great. We've got this one on its side as a tv stand (with two single columns on each side) and it's just about deep enough. Would recommend :)","I love this unit, it wasn't as hard to put together as some reviews state. It's a typical flat pack item, it's cheap and easy to follow the instructions. It fits in my space great and is used in a cuboard, which is a shame because it looks really smart with the 4 canvas drawers i bought to put on it. I got this istem in the sale for £37.99 which i thought was a great price.The courier service was exceptional and the guys were really nice. Over-all it's better than anything I've had from Argos","As others have stated there are a couple of dents in the panels due to packaging, had problems with getting the item as it got lost somewhere between Amazon and yodel but Amazon did fix the issue and sent another that came the next day.The unit itself is a good size and seems sturdier than other similar units.Found it very easy to put together took just me 20 minutes","I ordered 3, one was badly chipped and one had no fittings, the third had no instructions, but I managed with the instructions from the other two! They are the perfect size for my craft room but I wanted to return the chipped one for a replacement, but it said I'd have to pay for postage and they would only refund £3.30 of any postage, I don't see how I could post this back for £3.30!","Easy to put together, bought some fabric drawers that fit well, looks very nice in my grandsons bedroom .pleased with purchase.",Looks great in my daughter's room displaying her Lego models. Bought 2 pink canvas drawers to store the extra pieces and it all goes together perfectly. I didn't expect it to be so heavy though but at least it's not flimsy. Would definitely recommend as the price is good value.,Ok for price I guess.... Both were damaged on arrival and were quick to sort first... To be honest and fair by the time I got to the economy one I couldn't be bothered to complain I'd had enough...,"Really tricky to assemble compared to other flatpack furniture.Quality is OK, it's not stunning but it does the job at a good price."
B00DCUBSN8,"Keep Fresh Clip & Lock Storage Containers (Round, Square & Rectangular), 3 Piece","Cooking & Dining,Kitchen Storage & Organisation,Food Storage,Food Containers,Containers",3.5,14.49,5.55,62,True,68,"If I could rate these nought stars I would.  I have many Lock and Lock boxes and saw these and mistakenly thought they were the same brand, as they had come up on the search.  THEY ARE MOST DEFINITELY NOT!.The capacity is an outright LIE!  Just look at the dimensions.  The oblong box has two of the three dimensions the same as the square one - so something is wrong!  I measured the capacity of the square - 150 ml.  Not what they advertise, not what I wanted.  Liars.The plastic sides are thin, cheap and too squashable.Did the waterproof test (Iwant them for transporting juices, egg mayo and other lunch things etc in my handbag - as securely as Lock and Lock have always done).  Filled the little square with water and turned it upside down.  It leaks.  From all sides.  ZERO points.  Useless and a waste of money.  I will be asking for my money back.",Really rubbish! The dimensions are not for each individual box!!! They are for a packet of 3... Very bad specified... I dont reccomend it unless you need mini boxes!,"Not as strong as the sterlite or branded cliplocks.But the price is the strong point.Received just today,so dont know the usage effect but looks like they dont last for years.We could buy this since any plastic item should not be used for ever and u dont want to spend a fortune on these.And size is small as mentioned in product detail(200 ml)But i noticed the round ones being larger and the squares are the tiniest among the 3 sets.(9 in total)I wonder why the square 3 boxes too small?","I needed some small tubs in which to freeze small amounts of home-made stock, and multi-packs like this of the same size (and so many in a pack) are impossible to buy locally where I live.  Obviously the price made this attractive as well, but I was prepared for them to have some kind of major flaw (like the click-clip breaking off the first time I opened/closed one) and not be disappointed... but so far, no such disappointment.  I've used all 9 and they are secure and air-tight, and all clips are so far intact.  However, I am reserving that final star for now, because I would like to put them through the use/freeze/defrost/wash up/re-use cycle a few more times just to see how they stand up to the kind of use I'd consider 'normal' for this kind of container.  But, for now, if you want some small containers at a good price I'd say they're worth the risk for the money you're paying.","These are tiny and not anywhere near the dimensions written on the description. I read those dimensions thinking that was perfect.....to give you an idea, you wouldn't be able to fit a bank card in any of them because none are long enough to fit that in.The best bet is to use them to store herbs, oxo cubes, a handful of teabags.....table sauces maybe.  If you think you're going to have a cook up and freeze some in these tubs, prepare to do what I do, that's freeze one meal in 2-3 tubs.....probably the reason they give you 9!Feeling pretty duped right now.","I use these in the kitchen. As the reviews said, these are quite small, but that's exactly what I needed for those tiny bits of leftovers, small quantities of herbs or spices that you want to store airtight... The seal is good, and the plastic tabs look okay. Not as solid as LLock n Lock, but great for the price. I tend to hand wash anything that has an airtight seal,as the heat of the dishwasher can distort even the best quality seal.","The product arrived quickly, but turned out to be rubbish quality and unsuitable for my purposes.. i purchased these small boxes to pack my kids lunchboxes. I normally buy from lock&lock brand and these looked similar on the photo. However their lock are very thin and hard (and slightly painful for fingers) even for adults. they would be impossible for a child to open. I have returned the item, but was made to pay the postage back.","These little storage containers are great for kids fruit and left over cheese, little things that don't take up too much room the the fridge.  Also if your childs like mine and they loose things easily, as these are not too expensive  I don't mind them going missing so much."
B00TOEOKPY,VonHaus Canvas Wardrobe Clothes Cupboard Hanging Rail Storage with 2 Shelves & 3 Drawers - Beige - 88 x 50 x 160cm,"Laundry, Storage & Organisation,Clothing & Wardrobe Storage",3.5,54.99,17.99,67,True,112,"Bought as a temporary solution but I'm happy with it & might just keep it for the long term! Very easy to put together. Literally took 10 mins as a short female on my own. The cover is more plastic than fabric but using a little bit of common sense goes on quickly & easily without ripping. I unzipped the front & rolled the door up first, slide the back & side parts down first and got those aligned properly before zipping the front back up. Far easier & you are less likely to rip it. It fits perfectly into an alcove in my room so that will assist with keeping it stable in time. I have brought similar types of wardrobe before, for far more money & ended up ripping the covers or breaking the plastic connectors. The connectors on this one feel more solid than previous ones I have bought, giving it a more solid & stable feeling. Lovely neutral shade that will compliment any colourscheme & the brown trims add a nice finishing touch.","have been using it for over a month now and its reasonably loaded but holding the weight. The shelves made of canvas have started to slacken a bit, but that is expected if it is loaded with weight. The Canvas got slightly torn near the logo (top right front corner) but its small and the arrangement is cheap and temporary so didn't bother asking for replacement. Will probably buy again if I need more temporary storage, but this time will be extra cautious while putting the outer cover","This is a great value piece of furniture, very functional. I did have a couple of minor problems with assembly but other than that the instructions were very straight forward. The shelve pieces turned out to be inside the folded outer cover, one of the upright poles was a little tight to assemble.",This is absolutely useless......the canvas is made of a plastic type of material which looks like fabric but I would not light match anywhere near it. The frame is flimsy and comes apart very easily which means that the clothes end up on the floor.,Really disappointed with this product. Only just come away and within a few hours of assembling it the zip on one side broken and a draw handle has broke. Now have to go a whole week without closing it properly. Not happy.,"Very flimsy and unstable.'Canvas' is just like thick paper and rips easily.Instructions were poor.Would not recommend, at all, in the slightest, ever.",You pay for what you get it arrived with a ripped zip and was told I had to post it back before they could do anything so was easier to buy something else,"Do not get this if you need it for more than light clothing, had it a few days and it completely toppled over and snapped, quite disappointed really"
B0089O7VOW,Large Clip Frame Poster Frame 100x70 cm (Approx 40x28 inch) * For Home and Office * High Quality Photo Picture Frames,"Artwork,Posters",3.5,43.20,22.95,47,True,572,"I bought the 100cm x 70cm frame to mount and display a world map, without going to the expense of costly and heavy framing. This relatively lightweight clip frame does the job quite adequately. It came supplied with all of the clips and two wall hanging points. The clear acrylic facing (about 1.5mm thick) comes protected by a peel off cover on both faces to reduce the risk of damage.The back plate is hardboard (about 2mm thick) but seems robust enough for wall hanging.the retaining clips are easy to fit and deep enough to allow a thin border or matte to be used, providing the poster is not too thick itself - which is what I wanted to do. The only issue is that the clips could do with extending a couple of extra mm over the front of the frame for a more secure location of the acrylic face plate and they seem to be a bit lightweight for the job, but they do work. Obviously with a frame of this size it can be a bit fiddly to fit the 12 clips whilst keeping the display item correctly positioned, but it is not too difficult. There is also a white paper sheet provided to sit behind the display item and hide the hardboard, if the poster does not quite fill the frame. With the poster, border and hanging wires in place it weighs about 2.5KgOverall, this is a cost effective and reusable display mount and fully adequate for general usage. By using the Amazon super saver delivery option it was about £10-12 cheaper than I could find anywhere else. I was a bit concerned when it was delivered, as the packaging looked a bit flimsy for such a large item, but mine arrived undamaged.** Since writing the review I have noticed that the price has increased by £5, but is still competitive!!","It is RUBBISH, cheap, nasty, poor, useless, ugly and I'm not even joking.Do not buy and please check out the picture I've uploaded.","We ordered one originally to see the quality, upon arrival it was very well packed with the plexiglass being protected on the front and back by plastic film.  The overall quality was great, well worth a 5 star rating for the price, so we ordered 3 more.  When they arrived we could see straight away that the products were different as two of the frames were packaged differently to the third.  Upon opening this was confirmed by the actual products:  The odd frame was in fact another one just like our first - happy days!  The other two however were a far inferior product, the nice white thick backing board was replaced by a thin brown ply that was warped and lacked poster paper - most frustrating as the posters we were putting in them were vintage and therefore just smaller than the frames leaving the brown ply visible.Frankly they did the job after straightening them out for 3 days - I am useless at returning things otherwise I might have sent the two inferior ones back.So if you are lucky enough to get the good quality ones you will be very pleased, but be advised it does appear to be a lucky dip!",Arrived well packaged. Easy to insert item I wanted to frame into and just as easy to clip back together despite the item being a few mm thick. If I needed more I would definitely buy again. Very happy with my purchase.,Bought this for an A1 poster in my son's room- arrived in a MASSIVE box (more like AO+) and initially I thought I had ordered the wrong item. Turned out it was the correct size and is now pride of place. These products are a bit fiddly to ensure the poster remains square before all the clips are in place but otherwise a good compromise on fully framed items,"I've just received it, to frame a poster I bought my boyfriend. So far so good, it's not broken and the size described. I'm just about to put the poster in so i'll write this review as I go! :)The poster doesn't fit, that's not the frames fault... so gotta trim it down. Done. It's a screenprint poster so I'm just annoyed that i've had to trim it, so I might message the screenprinter. Anyway, the plastic has a protective film layer on both sides, I removed the one on the inside, but left the outer on. I put the clips just under the protective film so when the poster is on the wall, it will peel off easily without having to faff with the clips.It's what I was after, something to protect the poster, flatten it, be able to hang on the wall and no frame edges. I also love that it's plastic and not glass.","Please, don't bother. It's such a bad product. The acrylic glass is a bit opaque spoiling the quality of the picture - and yes, I peeled off the protective films. They didn't even bother to drill the holes for the clips in the middle of the frame. There are four holes, one on each side of the frame and none of these, on any of the frames I bought, is drilled in the middle, making impossible to hang the frames levelled on the wall. All frames are in the bin now. And they're quite expensive for what they are. I managed to buy different frames, half price and much better quality.","The frame was the right size, and whilst I appreciate it is plastic and not glass I didn't expect it to be so flimsy. The backing and plastic were both wobbled....think Rolf Harris. The clips were also pretty bad and because of both these fault I found it very hard to frame my picture centrally. I will only be using this as an interim measure until I can get something of better quality."
B015T0CRBK,6 Piece Stainless Steel Magnetic Spice Rack,"Cooking & Dining,Kitchen Storage & Organisation,Racks & Holders,Spice Racks",3.5,10.99,6.49,41,True,7,"I bought these so I could buy spices from my local grocer without the plastic/glass packaging.  Do they serve that purpose?  Yes.  A few positives and negatives.I don't use them with the stand, though the stands are ok.  The magnets on the bottom of the jars are strong and hold them firmly to the rack.  However, if you put them in a drawer and want to use the rack lying flat, you're out of luck as the bottom of the rack isn't flat.  I'm not sure if they are dishwasher safe.  I'm too afraid to risk it myself.The lids are a tiny bit difficult to put on, thanks to the holes on the sides to allow you to sprinkle spices out the side, but once you realize the right angle to put the lids on, that problem goes away.Overall, though, they look great, they're solidly constructed, and they serve my purposes very well.","Looks quite cheap, but that's what you pay. The magnet it's not very strong and came off. Bought it as a present, but never gave it.","Two of these came detached from the base, one was already like it when I opened the packet, the other fell off the fridge.",Perfect for the job,,,,
B00BWYR8QM,Square Indian-Tiffin Box Stainless Steel with Additional Container,"Cooking & Dining,Kitchen Storage & Organisation,Food Storage,Food Carriers,Lunch Boxes",3.5,17.99,9.99,44,True,32,"Nice box, quite small but will do for my needs. My only annoyance is the fact they have put three separate, hard to remove stickers on the lid. Am now left with a complete mess....Would have got five stars otherwise.","The tin quality isn't very good and the smaller internal tin is a nightmare to close, the shape is so warped. But you get what you pay for.The size is perfect for a nice balanced lunch.",Save your money. The size doesn't make it practical and the sharp edges as you fight to put the smaller pot in is ridiculous. The smaller box lid after taking it out after a few times starts to distort. Overall an overpriced cheap tin I wouldn't recommend to anyone.,"Very disappointed with these and definitely not good value for money. The areas where the handles are attached inside the tins are very sharp, and the tins are flimsy. The shape distorts after only a few uses and we can already see small rust spots (after just 2 weeks).","Work well but if you're looking for non-plastic containers, you can buy glass ones in IKEA for 1 GBP rather than this price. Way too expensive!",fits together arkwardly,"Nice wee tin, stickers are hard to remove, otherwise as expected.","It's okay. One of the hinges on the tin doesn't fasten properly, so often falls off (which leaves the lid unsecured on one side). The smaller container inside is terrible quality, the metal was already warped before I'd even started to use it."
B00PUKGRK2,trendteam CT11245 Coffee Table Canyon White Pine,"Furniture,Living Room Furniture,Tables,Coffee Tables",3,89.00,80.60,9,True,5,"Shocking! It's not even close to the pictures colour. The package arrived in an oversized box, with broken polystyrene and bin liner wrapped around it. There were no fittings supplied whatsoever and the quality is much lower than even a £90 table would suggest. Avoid. Avoid. Avoid!","It's a good table, very sturdy but packaging was shocking, was all damaged inside and outside and it wasn't till we'd nearly finished that we noticed a chip on 1 bit of wood. It's a good table but not worth the money we paid for it.",arrived in a badly damaged box and wood damaged,All ok . Packing was damage .,Excellent,,,
B00GHIQ0W6,Kids Children Furniture Table and Chair Set Alphabet Design Bedroom Play Room,"Furniture,Children's Furniture,Furniture Sets",3.5,34.99,20.00,43,True,32,Great value for money.  Fitted my two year old grandson a treat.  He loves it.  Can recommend for little ones.,Absolutely perfect for our purposes for moving my 18 month old daughter from a high chair onto a table. She immediately runs to it at meal times. Excellent quality and a great buy!,"Actual products as displayed on site however thought it would be a bit more sturdy , but my 2 year old loves it.","Looks good, is easy to assemble and is comfortable.  But the alphabet should be in both upper and lower case for it to be truly educational (my toddler could not link the lower case alphabet of this set to the upper case alphabet she has been playing with elsewhere). Find it hard to believe it is for age 3 and above, it was just big enough for my average-sized 2 year old.","I got the table & chair set for my son. It was the best decision I ever made. He loves sitting on the chair using the table to not only do educational things but also eats his breakfast, lunch and dinner there. He also tries to teach me the alphabet. Presume that was the idea behind the visible alphabet on the table and chair right! Great idea:)",Bit slippery when my grandson went to sit on it so had to hold the chair still for him..Seemed a bit wobbly even though it was level when the legs were put on the table and chairs..I think the legs need to be a little heavier so as the table and chair doesn't move so easily while a child is trying to sit down or stand up from it..,Unstable and dangerous. The wooden one from ikea is much more sturdy.,supposed to be new but it was notvery disapointed
