ASIN,Title,Category,Rating,ListPrice,Price,Discount,Available,ReviewCount,Review1,Review2,Review3,Review4,Review5,Review6,Review7,Review8
B004MQSDFW,LEITERN White 5-Tiered Ladder Shelf Bookcase Display Unit,"Furniture,Home Office Furniture,Cabinets, Racks & Shelves,Shelving & Storage",4,130.00,44.99,65,True,44,"I paid £20 for this shelf in a place called 'Store Twenty One' in the High Street. It was reduced from £40. I put it together myself in about 15 minutes and it looks remarkably good once assembled. When I first took it out of the box it I thought it looked cheap and a few areas hadn't a great finish, but again, once assembled, it looks really good and you don't notice the slight flaws. Maybe they aren't flaws, maybe this is just the style ;) I think I'd still have paid £40 for it as it is the perfect height, width and has the perfect amount of shelf space for all my bathroom towels. I have put a plant on the top shelf and my Molton Brown soaps and hand moisturisers - this really sets the shelf off. A really great buy for £20!","Excellent Ladder Bookcase, Easy and quick to put together and fits neatly against the wall. Good price. Very quick delivery.","It's ok. Easy to put up but its a bit cheap looking, and you can't put too much weight on the shelves. I bought this for my cookery books in the kitchen, moved it to the bedroom for bits and bobs but it just looked a bit naff.  It's now in the downstairs coat cupboard with shoes on it.","Lovely looking shelf, easy enough to set up on your own. It is a bit flimsy and I would not use it purely as book shelf as the books tend to be too heavy. Having said that, I use it for a few books and other decorational items and it looks very nice.","The shelves look good but, judging by the picture, I was expecting it to look a bit better. The edges of the wood parts don't fit as nicely as I expected (they seem to blend in really well in the picture, but the joints and screws are really noticeable in the real world).I also had issues assembling it as one of the parts snapped (despite following their assembly instructions). Ive asked for a replacement part, which was sent straight away - thumbs up for their customer service.Once assembled, the shelves seem very sturdy look good.All in all, it is a good buy if you are not interested on the looks, but it is not so good if you are concerned about little finishing touch details.","This delightful addition to my room is just perfect. It creates several shelves that can be used for either decorative reasons or, as in my case, for more office surface space. The good thing is that you can move it around the room. Lean it against any flat wall, then, when you are in the mood for a change, just place it elsewhere.From ordering online it arrived within 24 hours at no extra cost for this speedy deliveryI saw an almost identical 'ladder' in a retail interior design shop, for 50% more than the online price!I highly recommend this product",Nice shelves which appeared quite sturdy however white covering broke off ( chipboard covered in white facing) when the wooden pegs were inserted during building and totally ruined the shelves. One of the screws supplied was also striped so couldn't actually screw unit together properly. Not happy but really can't be bothered to inconvenience myself by trying to package up again and return.,"The shelves were easy to assemble, although the finishing at the sides was not neat. Furthermore, probably because of the design, the bottom two shelves were unsuitable for heavier books such as dictionaries. I am hoping that if I insert shelf supports into the wall behind these two shelves that I shall be able to use them for larger books."
B007POZ1O4,IKEA PRUTA Plastic Container / Food Storage Containers 17 Piece Set,"Cooking & Dining,Kitchen Storage & Organisation,Food Storage,Food Containers,Container Sets",4.5,13.00,6.65,49,True,713,"Just bought and received these tubs today, I couldn't see what size they were so i'll write down what the Pruta leaflet states:2x 14x14x16cm / (5 1/2x5 1/2x6 1/4"") Bucket/tower shape2x 12x12x14cm / (4 3/4x4 3/4x 51/2"") Bucket/tower shape2x 23x16x8cm / (9x6 1/4x3 1/4"") Sandwich tub shape2x 14x14x6cm / (5 1/2x5 1/2x2 1/4"") Sandwich tub shape2x 12x12x4cm / (4 3/4x4 3/4x 1 1/2"") Sandwich tub shape3x 12x8x4cm / (4 3/4x3 1/4x1 1/2"" Sandwich tub shape4x 9x9x4cm / (3 1/2x3 1/2x1 1/2"") Sandwich tub shapeHaven't had a chance to use them but simply opening and putting the lids back on they seem sturdy.I was looking for something to bring sandwiches into work in and these seem fine. The two large sandwich tubs are a tiny bit larger than an average paperback book in both length and width to give an idea.Not sure what i'll put in the tiny tubs or bucket shaped ones but probably dry food for the kitchen!","We bought this product a few months ago, so these comments are based on quite some usage.These containers are super.  First, let's get the slightly negative point out of the way: the smallest sizes are not much use (IMHO) for using in the kitchen. Maybe they'd be OK for a few nuts or bread crumbs ... but they're small. (OTOH I am *very* happy to say that they are very useful in my toolboxes for sorting out my random collections of screws, washers, nuts and bolts, etc etc. Very happy.  :-)  )  That leaves about 11 or 12 of the other sizes for kitchen use, which is what we bought them for.First, the sizes are very handy - just what's needed for leftovers, prepared meals, etc.Second, they are well designed so they store easily - quite stackable, even the different shapes and sizes.Third the lids are mostly interchangeable. Not completely, obviously (the rectangles don't fit the squares, the big ones don't fit the little boxes, etc) but pretty well: the smaller tall boxes use the lids from the small flat boxes, etc.Next, the lids are effective. My other half has a rigorous test: fill the boxes half full with water, turn upside down and shake. Not a drop leaked out.Last, the boxes are quite light, not too much extra weight to carry around.They seem fine in the microwave and freezer, but we don't have a dishwasher to test that.  As for lifetime, only time will tell, but so far, and at the price, we are delighted.(Tiny, tiny word of warning: one or two of the edges were a bit sharp when they were brand new and I got a couple of 'papercuts' from careless handling. After a few weeks the rough edges got worn smooth. Not a big deal)These are good.","I'm delighted with these, I kind of thought they may be flimsy or badly made but they are sturdy, don't bend after dishwashing & the variety are great. For that price too, very pleased.","I'll keep it brief.  These are okay for the price.  However, the two main issues for me are: 1 - it has a strong propensity to stain (pic attached of container after tomato soup stored for one day) and the lids are far from easy to open/close. I have since bought some more expensive containers which are far better quality and more practical.",I only wanted a lunch box but not the type everyone sells now with clips (too fiddly).  In the event these gave me 17 containers (2 lunch box size) for what a single box could cost.  Very pleased.,"This is an excellent product, not only extremely good value for money the boxes are dishwasher proof. Didn't have to go to Ikea to get them either!","They do their job nicely. The food is well packed, the containers do not open by themselves, and they do not leak.However, the plastic can get a bit of a colour from the food. More precisely, one or two of mine got red(ish) from some tomato based sauce (bolognese) I held in it. Not a big deal, but not for the perfect rating either.It would be nice to have a better range of middle-sized ones.","Bought  them for my friend as part of a xmas gift.  My mate was very pleased with them .The boxes have strong lids and keep food fresh ,as it should do.There were mixed reviews on this product but the buyer needs to remember that is cheap and is not  lock n lock. Its not all singing and dancing  but it dose the job of keeping your left overs fresh, packs your lunch safely and its good value for money when tied to a budget."
B00NX540P0,"ISTAD Plastic Bag, Green, Pack of 60, Comprises: 30 bags (0.4 l) and 30 bags (1 l), Can be used over and over again since it can be re-sealed.","Cooking & Dining,Kitchen Storage & Organisation,Food Storage,Food Containers,Food & Sandwich Bags",4.5,6.00,2.75,54,True,30,Perfect size for baby product or little snac. Strong bag that close properly. Very happy,Useful sizes for the children's lunch boxes! Saved a trip to ikea.,"Strong bags, nicely divided zipper works easily,Really pleased for the price with fast deliveryUpdate:- seams break to easily, can't use went in bin. Won't buy again","I love these, particularly the smaller bags, brilliant for putting all sorts of smaller items in, like dog treats, cotton wool balls, elastic bands...I should get out more","Love this bags, they are so useful. Plastic is thick and once you close the bag there is no way that content will leak and make mess.",sturdy with double closing strips. Handy packaging keeps bags well contained and easy to dispense.,Great value for money.  They feel like they can be washed and reused many times.,"Seller was great and loved the bags, excellent service thank you."
B000NPF3JU,Le'Xpress Frother,"Cooking & Dining,Coffee, Tea & Espresso,Milk Frothers,Handheld Milk Frothers",4,4.99,4.47,10,True,662,"This is great for whipping up some thick milk for a drink in the office. The batteries last about a week. The build quality is pretty low on this item. It feels cheap and nasty. But it does the trick, and hasn't let me down thus far.The trick is knowing how to froth milk correctly in this manor. Many people just stick it in the milk and hope it'll work. But the key is to raise the head of the device so its just sitting 50/50 on the top of the milks surface.","I'm really pleased with this. Being one of the cheaper frothers I looked at, I was concerned that it might not be effective enough, especially when I felt how lightweight it was out of the box. However, the opposite is true, as demonstrated by the fact that I soon found out you need to submerge the tip in the milk before switching on, to avoid splashes - it is powerful!It is very efficient indeed, far more so than anticipated. Essentially I just wanted to add a bit of texture and a head of froth onto my lattes, however I'm now making full-on cappuccino-type coffees, as within a short time you can generate such a large amount of froth.This is going to be impressive when making fresh coffee for guests - highly recommended!","feels a bit plasticy when you get it out the box, but simply pop a couple of aa's in and away you go. i would advise whisking the drink ina jug then pouring into a mug, as i found that even a half full mug will overflow with the force of the frother.  seems to be a good buy so far.",These little Latte makers are as good as any machine that makes any of the euopean coffee's at a fraction of the cost well worth the money,I use this to whisk up small amounts of milk (a cup full) which it does effectively. Hot milky drinks now seem to taste better!,the item is not working properly and it's only 2 weeks old. I should of spent a little more and got one which is better quality.,"I got this to enhance the quality of my home made lattes and macchiatos. Typically when making a drink, I oould not top it with caramel drizzle, for example, as there was very little foam. Now I can make all my coffee shop drinks with ease.  Although a little cheap looking, it functions as it should, providing my drinks with a velvety layer of foamed milk on top. Highly recommend and at under £3, I am very happy.","Had mine for nearly six months and still on the original battery. Works just fine for my three frothy coffees a day habit. The trick, as well, for a long and serviceable lifetime is not to poke it deep into the jug/cup, all you need to do is froth the top 1cm or so. Otherwise you'll just wear out the motor and deplete the battery as it struggles to move a large volume of fluid around it.Edit: thought I'd come back and update this review. Well, after 11 months of daily usage (~3-4 serious froths a day to enhance my caffeine habit) it finally stopped working. That said at the time it only cost a couple of quid. Have ordered a new one, even though price has nearly doubled it's still a cheap and cheerful device that gets the job done with little or no farting about."
B00HV6VOOC,MIU COLOR® Drawer Dividers Closet Organizers Bra Underwear Storage Boxes 4 Set,"Laundry, Storage & Organisation,Clothing & Wardrobe Storage,Drawer Organisers",4.5,20.99,12.99,38,True,221,"If you are anything like me, your wardrobe could do with some serious organizing, especially with the smaller garments which tend to disappear or lodge themselves in the middle of every other kind of clothing.These are beautifully sized with enough pockets to fit all the tiny bits of clothing we have. The outer frame is sturdy. The colour is neutral enough to blend in with whatever your wardrobe might look like. The only gripe I have is that the intersecting 'rows' and 'columns' are made of loose, fully flexible cloth so the pockets don't always retain their shape, they are a bit flappy. I'd have liked them to be firmer pockets because folded items of clothing like socks otherwise tend to unravel.Other than that, this is an good buy. Go for it! Your tidy shelves will thank you.","Excellent product! Good value, and very versatile. I was particularly impressed at how easy to assemble and sturdy they are - too many of this kind of product are flimsy and poorly made. These are the best of their kind that I've tried. The 24 compartment is great for rolled-up scarves.They arrived in good time, and well packaged - I'd certainly buy from this seller again.","Very pleased with these drawer dividers. Bought another make at the same time but these are far superior. The different sized divisions make it easy to store socks, bras, pants and even items such as boxed jewellery, perfume bottles and most things that get stuffed into a drawer. I've never had such tidy or organised drawers. I open the drawers and can find what I want immediately. Would highly recommend  them.",Well designed.Well made .Perfect solution to keeping motor home cupboards tidy . Great value for money.,Great product but it has a strong smell. You need a few days to get rid of it...,"I was pleasantly surprised on the arrival of this product; the reason listed as below:- Durable material- Thoughtful design- Mutual colour with an elegant darker boarderI have ordered few of this set for myself, my partner and my daughter; never felt so organised in my Drawer!!P.S I have ordered other products to achieve the same goal but did not fit the purpose so THANK YOU to THE SELLER!",I just moved into a new house and these have been really helpful for getting things organised.,These are really great; although if you are using the Bra one and you have large Bra's its a bit of a squeeze! But other than that they help you organise your drawers beautifully!
B004PYY350,Premier Houseware 509519 Five Hook Over Door Hanger,"Hardware,Hooks,Over Door Hooks",4.5,6.99,4.69,33,True,488,"This over door hanger is ideal if you want more hanging space or just an extra set of hooks for a special occasion when there is more to hang up, like a wedding.As long as there is a small clearance between the top of the door and the frame there is no problem in using it. Very good value.","If you want a functional over-door hanger, this might suit you - it does seem quite strong. But it is rather uglier than it looks in the photo - rough edges, roughly assembled (the various parts don't line up properly), ugly welding and uneven finish. It looks more like a school metalwork project than a commercial item. But if you don't care what it looks like it's probably OK.",Thanks to the merchandiser for putting the dimensions of the over-the-door part on their ad.  Many others don't.  The doors in my flat are fire doors and are wider than others.  This hanger is 4.6 and most hangers in the housewares stores are 4.0. This hanger fits perfectly and is very strong.,I bought 2 of these over-door hooks for my room at university as we have a very limited amount of space. they hold loads of jumpers and jackets! so glad i bought them. great value for money x,I have brought several other over the door hanger and this is the best I have ever brought. Strong and holds so much.  EXCELLENT,The item was as described.A strong build that fits the purpose. It arrived promptly with no damage. put into use straight away.,"This is the second time I've ordered these over the door hooks and I can't complain.I first ordered them about a year ago to hang over my bedroom door for coats, scarfs etc. At the time it actually arrived damaged, but could be sent back and replaced very promptly so it was fine in the end.I moved into a new flat earlier this year and need some hooks for my bathroom so I ordered these again, and they're absolutely fine.From what I've read, sometimes these products aren't wide enough for some doors, but in both instances these have hooked over the top with no problems. They are cheap though, so you can still see some of the workmanship to it, but I'm not bothered about that as they are now covered in towels, dressing gowns etc and holding up just fine!","I finally found a door hanger that fits on my 45mm door! It is very difficult to find on the high street shops, mainly if you care about the desing.Seller delived before the expected delivery date. Definitely recommend!"
B00009Y353,Lock & Lock Food Storage Set 6 Piece,"Cooking & Dining,Kitchen Storage & Organisation,Food Storage,Food Containers,Containers",4.5,25.75,20.88,19,True,245,"I wasn't sure just how useful this 6 piece airtight storage set would be, but having received it and got the hang of closing the very airtight lids I now find that I could use another two sets !The range of sizes is good and pretty well accommodates anything we have found and want to keep airtight.One use, which I'd never considered, is using one for the storage of home made croutons (they do taste so much better that those bought in sealed packages).  Normally I'd store something like these in a bowl enclosed with cling film but these containers are vastly better and I've managed to keep croutons crisp and fresh for up to a week without problem, something I could never do with the bowl and cling film method.As time passes we are finding more and more uses for them and can't recommend them highly enough - there's also a breakfast cereal container sold separately which is also a fantastic piece of kitchen kit.At the very reasonable price for these very high quality airtight containers, I have no hesitation in recommending them.","Lock & Lock won my heart 5 years ago - things stay fresh for months in these containers - air and water tight so no leaks when transporting liquids.  I've tried all the different brands of ""lockable"" containers and none are as good as these in my experience.","a good 6 piece set of solid containers that do the job, air and water tight and keep things freshonly down side, stains easily","Lock + Lock are very good food storage boxes - the seals are good, and they can be used in fridge, freezer, dishwasher and indeed microwave (as long as you unlock the lid and just have it resting, unsealed)They do indeed stack neatly on top of each other - however, the same size boxes do not stack INSIDE each other, empty, which is an option I wanted for boxes not in use. I recommend these Food Container 0.5L 11x11cm H 6.5cm 5pcs Clear plastic Guaranteed quality - click onto the supplier, who carries a range of sizes, 0.3, 0.5, 0.75 1l for economical robust little stacker boxes and lids which fit inside each other, emptied, waiting to be used).Lock + Lock are a much sturdier,solider (and much pricier) option. This particular set combination though was ideal - for that large 5.5 litre container which comes with a perforated inner base tray - making this ideal as an extra salad crisper box for the fridge, the perforated inner base/drainage tray helps keep lettuces and the like perkier for longer, and the size is perfect for all the salad ingredients.Good though it is I kept my eye on pricing, and at the time I bought this there was an offer on which made it a very good deal indeed. It's always worth looking at all the buying options, the first shown is not always the best deal!","I have accumulated dozens of these containers in all different sizes and think they are the best containers I've encountered.  Many other containers are very difficult to open when first taken from the freezer, whereas these open easily so one can scoop out things like prawns or peas easily.  They stack neatly thus using space efficiently.  They really are air and water tight.",This Lock & Lock Food Storage Set is great as there is a variety of useful sized boxes for anumber of uses. I have used most for  the fridge and the smallest ones for  storing small craft pieces.They are easy to use and to stack.,"'Tupperware'? What is this 'Tupperware' of which you speak. It's 2015 and we be locking and also locking our foods in this house. If I ever can't find a Lock & Lock box of the size I want, I just order another one of these packs. To not do so would be foolishness.","These are by far my favorite kind of food storage containers. I'm quite picky about them as I usually take my lunch to work - I won't tolerate spilly / drippy lunches all over my bag. I've had this set for about 6 wks, but I've had others in the past that lasted for years. This brand is really great. Although technically, you can microwave them (and the lids) - I did so and it was either too long, too hot, too powerful, or too tightly sealed b/c the top warped. However - it still works fine and somewhat went back into shape. I imagine you might want to be careful with freezing as well (don't fill to the top or you'll bust the lid off). I prefer the 2 smaller sizes... the large one is really quite large (5.5L) and barely fits in the typical UK flat-size fridge - I ended up pulling out one of my crisper drawers, and using this instead, to store half used veggies. The large one also comes with a plastic 'grate' that is the same size as the bottom - not sure what this should be used for - I suppose if you put something drippy in there. Though the grate is mere mm above the bottom of the bin, so I'm not sure how effective / useful it is."
B00CCMAJ8C,Wooden Folding Chair Colour Beech,"Furniture,Living Room Furniture,Chairs,Folding Chairs",4.5,45.95,22.40,51,True,8,"The picture does not do this chair justice... I bought this wooden chair as a replacement for a cheap nasty metal fold away chair I had bought for using when on my computer. I was a little aprehensive at first mainly because of the picture, I neednt have been the chair is really solid, easy to move around, easy to fold away and store, the shaped back rest makes it surprisingly comfortable. Last night I spent 2 hours sat at my PC without any discomfort, in fact I was so impressed I bought a second chair this morning. Im thinking I can use them outsite for additional seating at summer BBQs... Highly recommended!",These are perfect for when you have a few extra guests but don't want to have lots of chairs out all the time. They're easy to store and comfortable when in use. Would highly recommend!,"Good Wooden Folding Chair Colour Beech light and easy to carry, especially by young children will buy again as summer approaches and delivery was very prompt.",it is lightweight and easy to stack -it's useful to move around house and can be used outside too. Recommended,,,,
B002PHLZJ6,Interlink Display Cabinet Acquario,"Furniture,Living Room Furniture,Cabinets",4,49.99,41.65,17,True,40,"I ordered this cabinet for some of my 1:43 scale models. It arrived in record time, and on opening it, I am very pleased indeed. For the price, you could be expecting to say ""well you got what you paid for"". In this case, I personally think I got more than what I paid for. It is well made, easy to assemble, and made of good quality materials for the price. Whilst not ""rocket science"" to build, I had it assembled in fifteen minutes. On the wall in no time, and it now looks very much the part, on the wall in the selected position. I'm now in the process of getting my ""hidden"" models from the loft to fill it. Brilliant! Thank you to Amazon and the supplier!","Considering that display cabinets such as this are effectively nothing more than very narrow bookcases with glass doors, they are relatively pricey.So, once you decide to 'bite the bullet' of the price premium for one, this Links Display Cabinet Acquario is a good choice as it's solid, well made, easy to assemble and has several distinct advantages over much of the opposition.Firstly, it has 2 glass doors (not 1 big one) - so opening it can be achieved within the width of the cabinet itself.Secondly, when in use the glass doors are removable - so you can more easily clean them and also more readily get access to the cabinet contents/shelves.Happily, my cabinets (Nov 13 @ £47.74 each delivered) differ from the one shown in the Amazon picture as the door runners are colour-matched to the overall finish of the cabinet - rather than being white....Those runners are in the only 2 bits of the cabinet you really need to be careful about, as after assembly the top section should be the one where the runners protrude - thus ensuring you can remove the doors at will and (more importantly !) stop them falling out !!!Luckily (as I hadn't thought about it being a potential problem beforehand), the cabinet is deep enough to allow it to be freestanding ie it can stand upright OK despite the weight of the doors being at the front of the cabinet.So, this cabinet does the job I wanted perfectly well, avoids the pitfalls others seem to have and is relatively cheap - but these type of things are nevertheless a bit pricey for what they are and you are paying a significant premium for the 'display' aspect/glass.",IT IS BETTER QUALITY THAN EXPECTED WOULD USE THIS COMPANY AGAIN GREAT GOING TO BE USED FOR DISPLAYING TRUCKS EDDIE STOBART ONES,"easy to assemble ,one bad fault shelves bow with little weight on them have to turn them over now and again ,would have been better with glass shelves","I chose this rating because it met all of my expectations,the quality was appropriate to the price the cabinet is visually appealing for displaying a collection of model cars.I would recommend this cabinet to anyone who wants to display a collection of small to medium sized items in thier home.","This is more or less what I wanted but by design it's bound to be somewhat narrower than stated with rerspect to shelf width. This is because of the sliding doors. For practical purposes, the shelf with is only around 73mm. It has some versatility in shelf height but limited by the pre-drilled holes that can be seen on the photos (7 height options). You could drill additional ones, but best done prior to construction. Of course you could also use it without the glass doors, in which case leave them off during assembly.Nevertheless quite a nicely finished cabinet & cheaper than other similar ones that are available with almost identical photos.","Sorry for the delay in writing this review. these cabinets are perfect for displaying small ornaments, miniatures, thimbles in fact anything that you may collect. it was relatively easy to assemble, if your are good at DIY. my mum wouldn't have been able to put these together as she has problems with her hands, but if you are good at fixing things,  these are simple. They make your collection stand out and keep them free from dust. I brought extra strips of wood to go on the shelves, to give height to thimbles displayed. so that we could get two rows on each shelf, but to be honest we probably could have got 3 rows on the shelves if i had brought more wood. we were so please with the first one we brought a second one.. we would recommend these cabinets for all collectors out there.","For the product it fairly good, nice to look at, the only thing to let it down was the wall brackets, which were to flimbsy especially if the cabinet was to hold slightly heavier items."
B000G1TDME,Clippasafe Corner Toy Hammock,"Nursery,Furniture,Storage,Organisers",4.5,12.32,4.95,60,True,387,"My 4 year old son has so many cuddly toys changing his bedding was becoming a nightmare.  It would take me ages to remove and replace the teddies!  This hammock has been worth every penny.  My son can now have his teddies suspended from his bed, therefore accessible, but not causing me any hassle changing his bedding.  Delivery was quick and hassle free.  This product is worth every penny.","This product is great, very sturdy and well made, it is currently holding around 13 cuddly toys of different sizes and shapes theres room for more! 10/10","Fits more soft toys than I thought it would.. my daughter is really pleased with it and her room is looking a lot more tidy. Pretty easy to fit.. just make sure you've got enough room in the corner you want it in, since it's quite large.",Tjis item was ideal to keep all my daughters teddy s together & in one place without taking up space.,Easy to install and keeps cuddly toys out the way and looks great. would highly recommend to anyone with a free corner.,"This hammock is a lot bigger than it looks in the picture, over 1m in width. Pretty good quality and the hooks are provided. Good value for money",Great little item to keep soft toys off the floor and easy to put up.,"Very good item, my daughters bedroom now looks a lot tidier with fluffy toys all in one place."
